"","region","saleYear","volume","volCS","volShare","volGrowth","medPrice","priceGrowth"
"134","burien",2003,741,39941,0.0185523647379885,-0.125384802330984,189950,0.0465564738292024
"135","burien",2004,908,43322,0.0209593278242002,0.129738883436409,220000,0.158199526191102
"136","burien",2005,924,45181,0.0204510745667427,-0.0242495017836725,250000,0.136363636363636
"137","burien",2006,954,39609,0.0240854351283799,0.177710004908369,290000,0.16
"138","burien",2007,709,31419,0.0225659632706324,-0.0630867513768559,325000,0.120689655172414
"139","burien",2008,414,20255,0.0204393976795853,-0.0942377493725103,289750,-0.108461538461538
"140","burien",2009,371,19232,0.019290765391015,-0.0561969734420092,250000,-0.13718723037101
"141","burien",2010,412,20732,0.0198726606212618,0.0301644449275127,225000,-0.0999999999999989
"142","burien",2011,504,21948,0.0229633679606342,0.155525593591915,189950,-0.155777777777778
"143","burien",2012,639,28077,0.0227588417565979,-0.00890662921862817,2e+05,0.0529086601737296
"144","burien",2013,774,33382,0.0231861482235936,0.0187754048103852,231882.5,0.1594125
"145","burien",2014,723,31845,0.022703721149317,-0.0208066932732556,247500,0.0673509212640018
"146","burien",2015,794,34417,0.0230699944794724,0.0161327443966766,285000,0.151515151515152
"147","burien",2016,805,33824,0.0237996688741722,0.0316287199526251,335000,0.175438596491228
"148","carnation",1996,130,27516,0.0047245239133595,-0.0337934165257594,155000,-0.0476190476190478
"149","carnation",1997,210,31821,0.00659941548034317,0.396842433516327,180350,0.163548387096773
"150","carnation",1998,232,34021,0.00681931748037977,0.0333214359198308,196875,0.0916273911838108
"151","carnation",1999,153,33331,0.00459032132249257,-0.326864992618448,260000,0.320634920634921
"152","carnation",2000,163,31196,0.00522502884985255,0.138270827414608,245000,-0.0576923076923088
"153","carnation",2001,159,30855,0.00515313563441906,-0.0137593910960923,234000,-0.0448979591836728
"154","carnation",2002,140,33613,0.00416505518698123,-0.19174353588487,242750,0.0373931623931623
"155","carnation",2003,178,39941,0.0044565734458326,0.0699914516769384,259975,0.0709577754891868
"156","carnation",2004,192,43322,0.00443192835049167,-0.00553005479220414,296000,0.138571016443888
"157","carnation",2005,195,45181,0.00431597352869569,-0.0261635145304441,335000,0.131756756756757
"158","carnation",2006,166,39609,0.00419096669948749,-0.0289637617972094,358475,0.0700746268656713
"159","carnation",2007,127,31419,0.0040421401063051,-0.0355112802973568,359950,0.00411465234674657
"160","carnation",2008,80,20255,0.00394964206368798,-0.0228834330786403,334500,-0.0707042644811779
"161","carnation",2009,72,19232,0.00374376039933444,-0.0521266638935107,329999,-0.0134559043348278
"162","carnation",2010,75,20732,0.00361759598688019,-0.033699916393338,336200,0.0187909660332317
"163","carnation",2011,77,21948,0.00350829232731912,-0.0302144462669333,270000,-0.196906603212375
"164","carnation",2012,132,28077,0.00470135698258361,0.340069909788896,290276.5,0.075098148148149
"165","carnation",2013,150,33382,0.00449343957821581,-0.0442249769881423,372500,0.283259237313389
"166","carnation",2014,174,31845,0.00546396608572774,0.215987439158424,401350,0.0774496644295306
"167","carnation",2015,161,34417,0.00467792079495598,-0.143859840716246,415000,0.0340102155226103
"168","carnation",2016,175,33824,0.00517384105960265,0.106012967381021,535000,0.289156626506024
"169","clyde hill",1996,62,27516,0.00225323448175607,0.0300374256404115,420000,-0.00709219858155907
"170","clyde hill",1997,75,31821,0.00235693410012256,0.0460225596608448,489000,0.164285714285714
"171","clyde hill",1998,81,34021,0.00238088239616707,0.0101607830457662,566500,0.158486707566462
"172","clyde hill",1999,88,33331,0.00264018481293691,0.108910216307734,622500,0.0988526037069732
"173","clyde hill",2000,55,31196,0.00176304654442877,-0.332226086677779,675000,0.0843373493975899
"174","clyde hill",2001,51,30855,0.00165289256198347,-0.0624793388429755,725000,0.0740740740740746
"175","clyde hill",2002,57,33613,0.00169577246898521,0.0259423437360551,740000,0.0206896551724136
"176","clyde hill",2003,86,39941,0.00215317593450339,0.26973162607829,747500,0.0101351351351349
"177","clyde hill",2004,82,43322,0.00189280273302248,-0.120925186515687,884375,0.183110367892976
"178","clyde hill",2005,101,45181,0.00223545295588854,0.181027962865893,1050000,0.187279151943463
"179","clyde hill",2006,94,39609,0.00237319801055316,0.0616184090574479,1339000,0.275238095238095
"180","clyde hill",2007,69,31419,0.00219612336484293,-0.0746143578929406,1645000,0.228528752800598
"181","clyde hill",2008,30,20255,0.00148111577388299,-0.32557715217928,1649500,0.00273556231003069
"182","clyde hill",2009,61,19232,0.00317179700499168,1.14149161120355,1320000,-0.199757502273416
"183","clyde hill",2010,63,20732,0.00303878062897936,-0.0419372285814594,1e+06,-0.242424242424243
"184","clyde hill",2011,61,21948,0.00277929651904502,-0.0853908661453765,1050000,0.0500000000000003
"185","clyde hill",2012,72,28077,0.0025643765359547,-0.0773289145715792,1240000,0.180952380952382
"186","clyde hill",2013,96,33382,0.00287580133005812,0.121442693667245,1465000,0.181451612903226
"187","clyde hill",2014,64,31845,0.0020097346522217,-0.301156644161825,1616000,0.103071672354948
"188","clyde hill",2015,89,34417,0.00258593137112473,0.286702883022925,1800000,0.113861386138614
"189","clyde hill",2016,102,33824,0.00301561021759697,0.16616018942736,2075000,0.152777777777779
"190","covington",1996,397,27516,0.0144279691815671,-0.085941104622133,133000,0.0488958990536272
"191","covington",1997,552,31821,0.017347034976902,0.202319935577926,146000,0.0977443609022557
"192","covington",1998,506,34021,0.0148731665735869,-0.142610446488933,147650,0.0113013698630149
"193","covington",1999,448,33331,0.0134409408658606,-0.0962959502026798,148450,0.00541821876058246
"194","covington",2000,510,31196,0.0163482497756123,0.216302484979759,189975,0.279723812731558
"195","covington",2001,721,30855,0.0233673634743153,0.429349550872042,234950,0.236741676536386
"196","covington",2002,671,33613,0.0199625145033172,-0.145709590846253,234500,-0.00191530112789895
"197","covington",2003,981,39941,0.0245612278110213,0.230367437275496,288875,0.2318763326226
"198","covington",2004,951,43322,0.021951895111029,-0.106237877034036,257680,-0.107987884032886
"199","covington",2005,709,45181,0.0156924370863859,-0.285144311822914,267000,0.0361688916485572
"200","covington",2006,686,39609,0.0173192961195688,0.103671534525017,298000,0.116104868913858
"201","covington",2007,472,31419,0.0150227569305197,-0.132600030231841,326000,0.093959731543624
"202","covington",2008,284,20255,0.0140212293260923,-0.0666673639904775,305976,-0.0614233128834357
"203","covington",2009,262,19232,0.0136231281198003,-0.028392746244522,235000,-0.23196590582268
"204","covington",2010,321,20732,0.0154833108238472,0.136545930397821,265000,0.127659574468085
"205","covington",2011,310,21948,0.0141242937853107,-0.0877730256789336,225000,-0.150943396226414
"206","covington",2012,459,28077,0.0163479004167112,0.157431349503152,234995,0.0444222222222215
"207","covington",2013,553,33382,0.0165658139116889,0.0133297542450763,255000,0.0851294708398045
"208","covington",2014,415,31845,0.0130318731355001,-0.213327325480536,237950,-0.0668627450980389
"209","covington",2015,507,34417,0.0147310921928117,0.130389472000213,280500,0.17881907963858
"210","covington",2016,512,33824,0.0151371807000946,0.0275667616472506,325000,0.158645276292334
"211","des moines",1996,403,27516,0.0146460241314144,-0.0645002558909681,132250,0.0580000000000003
"212","des moines",1997,495,31821,0.0155557650608089,0.0621152144248578,134000,0.0132325141776946
"213","des moines",1998,534,34021,0.0156961876488051,0.00902704479318905,147500,0.100746268656716
"214","des moines",1999,555,33331,0.0166511655815907,0.0608413937290222,160000,0.0847457627118637
"215","des moines",2000,475,31196,0.0152263110655212,-0.0855708574326352,172000,0.075
"216","des moines",2001,436,30855,0.0141306109220548,-0.0719609719485879,175750,0.0218023255813966
"217","des moines",2002,483,33613,0.0143694403950852,0.0169015674090707,189990,0.0810241820768125
"218","des moines",2003,507,39941,0.0126937232417816,-0.116616730173901,197900,0.0416337701984322
